"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"EVPUPUS","201506","10851","1","Number of locations with public ports only","Number"
"EVPUPUS","201507","10896","1","Number of locations with public ports only","Number"
"EVPUPUS","201508","11433","1","Number of locations with public ports only","Number"
"EVPUPUS","201509","11452","1","Number of locations with public ports only","Number"
"EVPUPUS","201510","11794","1","Number of locations with public ports only","Number"
"EVPUPUS","201511","12149","1","Number of locations with public ports only","Number"
"EVPUPUS","201512","12189","1","Number of locations with public ports only","Number"
"EVPUPUS","201513","12189","1","Number of locations with public ports only","Number"
"EVPUPUS","201601","12897","1","Number of locations with public ports only","Number"
"EVPUPUS","201602","13282","1","Number of locations with public ports only","Number"
"EVPUPUS","201603","13590","1","Number of locations with public ports only","Number"
"EVPUPUS","201604","13819","1","Number of locations with public ports only","Number"
"EVPUPUS","201605","14083","1","Number of locations with public ports only","Number"
"EVPUPUS","201606","14486","1","Number of locations with public ports only","Number"
"EVPUPUS","201607","14714","1","Number of locations with public ports only","Number"
"EVPUPUS","201608","14889","1","Number of locations with public ports only","Number"
"EVPUPUS","201609","15260","1","Number of locations with public ports only","Number"
"EVPUPUS","201610","15432","1","Number of locations with public ports only","Number"
"EVPUPUS","201611","15771","1","Number of locations with public ports only","Number"
"EVPUPUS","201612","15990","1","Number of locations with public ports only","Number"
"EVPUPUS","201613","15990","1","Number of locations with public ports only","Number"
"EVPUPUS","201701","16359","1","Number of locations with public ports only","Number"
"EVPUPUS","201702","16612","1","Number of locations with public ports only","Number"
"EVPUPUS","201703","16863","1","Number of locations with public ports only","Number"
"EVPUPUS","201704","17060","1","Number of locations with public ports only","Number"
"EVPUPUS","201705","17375","1","Number of locations with public ports only","Number"
"EVPUPUS","201706","17616","1","Number of locations with public ports only","Number"
"EVPUPUS","201707","17730","1","Number of locations with public ports only","Number"
"EVPUPUS","201708","18081","1","Number of locations with public ports only","Number"
"EVPUPUS","201709","18887","1","Number of locations with public ports only","Number"
"EVPUPUS","201710","19164","1","Number of locations with public ports only","Number"
"EVPUPUS","201711","19393","1","Number of locations with public ports only","Number"
"EVPUPUS","201712","19619","1","Number of locations with public ports only","Number"
"EVPUPUS","201713","19619","1","Number of locations with public ports only","Number"
"EVPUPUS","201801","19659","1","Number of locations with public ports only","Number"
"EVPUPUS","201802","19753","1","Number of locations with public ports only","Number"
"EVPUPUS","201803","19553","1","Number of locations with public ports only","Number"
"EVPUPUS","201804","19801","1","Number of locations with public ports only","Number"
"EVPUPUS","201805","19798","1","Number of locations with public ports only","Number"
"EVPUPUS","201806","20289","1","Number of locations with public ports only","Number"
"EVPUPUS","201807","20692","1","Number of locations with public ports only","Number"
"EVPUPUS","201808","20950","1","Number of locations with public ports only","Number"
"EVPUPUS","201809","21068","1","Number of locations with public ports only","Number"
"EVPUPUS","201810","21410","1","Number of locations with public ports only","Number"
"EVPUPUS","201811","21569","1","Number of locations with public ports only","Number"
"EVPUPUS","201812","21791","1","Number of locations with public ports only","Number"
"EVPUPUS","201813","21791","1","Number of locations with public ports only","Number"
"EVPUPUS","201901","21006","1","Number of locations with public ports only","Number"
"EVPUPUS","201902","21034","1","Number of locations with public ports only","Number"
"EVPUPUS","201903","21257","1","Number of locations with public ports only","Number"
