Local date,Demand,Net generation,Coal,Natural gas,Petroleum,Hydro,Solar,Wind,Other
2023-05-02,1088310.0,1089108.0,153400.0,489405.0,0.0,360.0,83826.0,265060.0,4212.0
2023-05-03,1116888.0,1116782.0,182072.0,533644.0,0.0,360.0,103400.0,202842.0,1981.0
2023-05-04,1133359.0,1133112.0,188183.0,476972.0,0.0,421.0,79125.0,292192.0,3294.0
2023-05-05,1296605.0,1296170.0,192901.0,540164.0,0.0,871.0,116772.0,349646.0,3038.0
2023-05-06,1227630.0,1225193.0,153070.0,512820.0,0.0,915.0,102994.0,360500.0,2303.0
2023-05-07,1145732.0,1143422.0,133229.0,439798.0,0.0,539.0,78089.0,397567.0,1645.0
2023-05-08,1240608.0,1240422.0,173215.0,548902.0,0.0,612.0,107718.0,316180.0,1874.0
2023-05-09,1160685.0,1159935.0,161147.0,486655.0,0.0,10.0,91131.0,326299.0,2063.0
2023-05-10,1127019.0,1126241.0,158836.0,453501.0,0.0,117.0,91734.0,327629.0,2405.0
2023-05-11,1242643.0,1241674.0,159299.0,541727.0,0.0,212.0,114067.0,331014.0,2826.0
2023-05-12,1296166.0,1296523.0,162628.0,591262.0,0.0,473.0,83366.0,364093.0,2309.0
2023-05-13,1113613.0,1113230.0,161068.0,599253.0,0.0,202.0,66955.0,191591.0,1741.0
2023-05-14,1078184.0,1076013.0,182278.0,660635.0,0.0,367.0,81869.0,56755.0,1794.0
2023-05-15,1178647.0,1175171.0,176598.0,698785.0,0.0,615.0,84538.0,119025.0,3838.0
2023-05-16,1145980.0,1139600.0,190629.0,714476.0,0.0,450.0,90418.0,47554.0,3854.0
2023-05-17,1174307.0,1172967.0,180221.0,676681.0,0.0,460.0,118401.0,101356.0,4202.0
2023-05-18,1229914.0,1229065.0,192130.0,611385.0,0.0,541.0,104142.0,225079.0,3796.0
2023-05-19,1282044.0,1282310.0,182142.0,612800.0,0.0,538.0,108022.0,281820.0,5401.0
2023-05-20,1131790.0,1130603.0,172316.0,614055.0,0.0,607.0,77326.0,172430.0,2120.0
2023-05-21,1047063.0,1042999.0,182908.0,584777.0,0.0,149.0,76640.0,105351.0,1203.0
2023-05-22,1174458.0,1172798.0,183394.0,612431.0,0.0,734.0,101285.0,180850.0,2087.0
2023-05-23,1236835.0,1230963.0,180019.0,621483.0,0.0,55.0,116749.0,217874.0,2938.0
2023-05-24,1225207.0,1223327.0,180379.0,656767.0,0.0,216.0,100061.0,191911.0,2626.0
2023-05-25,1222667.0,1217804.0,156303.0,643934.0,0.0,101.0,97126.0,226939.0,1959.0
2023-05-26,1225139.0,1221494.0,151253.0,618919.0,0.0,72.0,96191.0,261078.0,2089.0
2023-05-27,1176971.0,1171947.0,137997.0,566471.0,0.0,101.0,77543.0,295949.0,1973.0
