"State","MSN","2022"
"AK","BTVHN",1.70
"AK","ELVHN",2.30
"AK","ELVHS",0.44
"AK","LDVHN",523.00
"AK","PHVHN",0.60
"AL","BTVHN",7.50
"AL","ELVHN",11.60
"AL","ELVHS",0.26
"AL","LDVHN",4461.50
"AL","PHVHN",4.10
"AR","BTVHN",4.40
"AR","ELVHN",6.70
"AR","ELVHS",0.27
"AR","LDVHN",2498.40
"AR","PHVHN",2.30
"AZ","BTVHN",57.00
"AZ","ELVHN",75.90
"AZ","ELVHS",1.26
"AZ","LDVHN",6038.50
"AZ","PHVHN",18.90
"CA","BTVHN",782.70
"CA","ELVHN",1116.90
"CA","ELVHS",3.32
"CA","LDVHN",33604.30
"CA","PHVHN",334.20
"CO","BTVHN",51.90
"CO","ELVHN",74.10
"CO","ELVHS",1.48
"CO","LDVHN",5011.90
"CO","PHVHN",22.20
"CT","BTVHN",19.10
"CT","ELVHN",31.20
"CT","ELVHS",1.14
"CT","LDVHN",2745.80
"CT","PHVHN",12.10
"DC","BTVHN",5.10
"DC","ELVHN",8.10
"DC","ELVHS",2.73
"DC","LDVHN",297.20
"DC","PHVHN",3.00
"DE","BTVHN",4.70
"DE","ELVHN",7.30
"DE","ELVHS",0.86
"DE","LDVHN",850.00
"DE","PHVHN",2.60
"FL","BTVHN",145.50
"FL","ELVHN",187.90
"FL","ELVHS",1.11
"FL","LDVHN",16865.80
"FL","PHVHN",42.40
"GA","BTVHN",52.10
"GA","ELVHN",68.80
"GA","ELVHS",0.77
"GA","LDVHN",8877.80
"GA","PHVHN",16.70
"HI","BTVHN",17.20
"HI","ELVHN",22.40
"HI","ELVHS",2.23
"HI","LDVHN",1005.20
"HI","PHVHN",5.20
"IA","BTVHN",5.40
"IA","ELVHN",9.90
"IA","ELVHS",0.34
"IA","LDVHN",2901.00
"IA","PHVHN",4.50
"ID","BTVHN",5.10
"ID","ELVHN",8.30
"ID","ELVHS",0.46
"ID","LDVHN",1799.50
"ID","PHVHN",3.20
"IL","BTVHN",58.00
"IL","ELVHN",81.80
"IL","ELVHS",0.88
"IL","LDVHN",9338.40
"IL","PHVHN",23.80
"IN","BTVHN",15.30
"IN","ELVHN",24.60
"IN","ELVHS",0.43
"IN","LDVHN",5670.00
"IN","PHVHN",9.30
"KS","BTVHN",6.60
"KS","ELVHN",10.60
"KS","ELVHS",0.44
"KS","LDVHN",2423.20
"KS","PHVHN",4.00
"KY","BTVHN",6.60
"KY","ELVHN",10.70
"KY","ELVHS",0.29
"KY","LDVHN",3697.80
"KY","PHVHN",4.10
"LA","BTVHN",5.10
"LA","ELVHN",7.80
"LA","ELVHS",0.22
"LA","LDVHN",3528.10
"LA","PHVHN",2.70
"MA","BTVHN",42.80
"MA","ELVHN",71.00
"MA","ELVHS",1.41
"MA","LDVHN",5044.70
"MA","PHVHN",28.20
"MD","BTVHN",39.90
"MD","ELVHN",61.10
"MD","ELVHS",1.30
"MD","LDVHN",4713.90
"MD","PHVHN",21.20
