"State","MSN","2022"
"AK","EV0CN",0.00
"AK","EV1CN",3.00
"AK","EV2CN",83.00
"AK","EV2CR",1.66
"AK","EVCHN",118.00
"AK","EVCHP",63.00
"AK","EVDCN",32.00
"AK","EVDCR",2.00
"AK","EVNNP",0.00
"AK","EVNOP",44.00
"AK","EVNTP",19.00
"AK","EVPPP",2.00
"AK","EVPUP",58.00
"AK","EVPVP",3.00
"AL","EV0CN",0.00
"AL","EV1CN",35.00
"AL","EV2CN",654.00
"AL","EV2CR",2.53
"AL","EVCHN",929.00
"AL","EVCHP",323.00
"AL","EVDCN",240.00
"AL","EVDCR",4.00
"AL","EVNNP",0.00
"AL","EVNOP",98.00
"AL","EVNTP",225.00
"AL","EVPPP",20.00
"AL","EVPUP",244.00
"AL","EVPVP",59.00
"AR","EV0CN",0.00
"AR","EV1CN",3.00
"AR","EV2CN",567.00
"AR","EV2CR",2.64
"AR","EVCHN",651.00
"AR","EVCHP",235.00
"AR","EVDCN",81.00
"AR","EVDCR",4.50
"AR","EVNNP",1.00
"AR","EVNOP",57.00
"AR","EVNTP",177.00
"AR","EVPPP",9.00
"AR","EVPUP",214.00
"AR","EVPVP",12.00
"AZ","EV0CN",0.00
"AZ","EV1CN",9.00
"AZ","EV2CN",2323.00
"AZ","EV2CR",2.52
"AZ","EVCHN",2945.00
"AZ","EVCHP",1015.00
"AZ","EVDCN",613.00
"AZ","EVDCR",6.01
"AZ","EVNNP",1.00
"AZ","EVNOP",151.00
"AZ","EVNTP",863.00
"AZ","EVPPP",25.00
"AZ","EVPUP",961.00
"AZ","EVPVP",29.00
"CA","EV0CN",33.00
"CA","EV1CN",666.00
"CA","EV2CN",38830.00
"CA","EV2CR",2.90
"CA","EVCHN",48306.00
"CA","EVCHP",14822.00
"CA","EVDCN",8777.00
"CA","EVDCR",4.83
"CA","EVNNP",52.00
"CA","EVNOP",1276.00
"CA","EVNTP",13494.00
"CA","EVPPP",170.00
"CA","EVPUP",14058.00
"CA","EVPVP",594.00
"CO","EV0CN",0.00
"CO","EV1CN",90.00
"CO","EV2CN",4556.00
"CO","EV2CR",2.72
"CO","EVCHN",5406.00
"CO","EVCHP",1910.00
"CO","EVDCN",760.00
"CO","EVDCR",2.78
"CO","EVNNP",6.00
"CO","EVNOP",240.00
"CO","EVNTP",1664.00
"CO","EVPPP",22.00
"CO","EVPUP",1796.00
"CO","EVPVP",92.00
"CT","EV0CN",2.00
"CT","EV1CN",70.00
"CT","EV2CN",1524.00
"CT","EV2CR",2.75
"CT","EVCHN",1951.00
"CT","EVCHP",619.00
"CT","EVDCN",355.00
"CT","EVDCR",4.49
"CT","EVNNP",2.00
"CT","EVNOP",256.00
"CT","EVNTP",361.00
"CT","EVPPP",27.00
"CT","EVPUP",529.00
"CT","EVPVP",63.00
"DC","EV0CN",0.00
"DC","EV1CN",44.00
"DC","EV2CN",1359.00
"DC","EV2CR",4.16
"DC","EVCHN",1441.00
"DC","EVCHP",334.00
"DC","EVDCN",38.00
"DC","EVDCR",5.43
"DC","EVNNP",3.00
"DC","EVNOP",36.00
"DC","EVNTP",295.00
"DC","EVPPP",6.00
"DC","EVPUP",292.00
"DC","EVPVP",36.00
"DE","EV0CN",0.00
"DE","EV1CN",5.00
"DE","EV2CN",337.00
"DE","EV2CR",2.59
"DE","EVCHN",448.00
"DE","EVCHP",155.00
"DE","EVDCN",106.00
"DE","EVDCR",3.93
"DE","EVNNP",2.00
"DE","EVNOP",37.00
"DE","EVNTP",116.00
"DE","EVPPP",3.00
"DE","EVPUP",144.00
"DE","EVPVP",8.00
"FL","EV0CN",0.00
"FL","EV1CN",366.00
"FL","EV2CN",7689.00
"FL","EV2CR",2.80
"FL","EVCHN",9792.00
"FL","EVCHP",3105.00
"FL","EVDCN",1737.00
"FL","EVDCR",4.68
"FL","EVNNP",15.00
"FL","EVNOP",341.00
"FL","EVNTP",2749.00
"FL","EVPPP",109.00
"FL","EVPUP",2880.00
"FL","EVPVP",116.00
"GA","EV0CN",0.00
"GA","EV1CN",230.00
"GA","EV2CN",3755.00
"GA","EV2CR",2.79
"GA","EVCHN",4805.00
"GA","EVCHP",1559.00
"GA","EVDCN",820.00
"GA","EVDCR",3.27
"GA","EVNNP",3.00
"GA","EVNOP",150.00
"GA","EVNTP",1406.00
"GA","EVPPP",37.00
"GA","EVPUP",1487.00
"GA","EVPVP",35.00
"HI","EV0CN",0.00
"HI","EV1CN",30.00
"HI","EV2CN",919.00
"HI","EV2CR",2.58
"HI","EVCHN",1028.00
"HI","EVCHP",398.00
"HI","EVDCN",79.00
"HI","EVDCR",1.76
"HI","EVNNP",4.00
"HI","EVNOP",119.00
"HI","EVNTP",275.00
"HI","EVPPP",9.00
"HI","EVPUP",376.00
"HI","EVPVP",13.00
"IA","EV0CN",0.00
"IA","EV1CN",4.00
"IA","EV2CN",465.00
"IA","EV2CR",1.95
"IA","EVCHN",707.00
"IA","EVCHP",318.00
"IA","EVDCN",238.00
"IA","EVDCR",3.05
"IA","EVNNP",1.00
"IA","EVNOP",57.00
"IA","EVNTP",260.00
"IA","EVPPP",6.00
"IA","EVPUP",299.00
"IA","EVPVP",13.00
"ID","EV0CN",0.00
"ID","EV1CN",10.00
"ID","EV2CN",385.00
"ID","EV2CR",2.83
"ID","EVCHN",484.00
"ID","EVCHP",158.00
"ID","EVDCN",89.00
"ID","EVDCR",3.87
"ID","EVNNP",0.00
"ID","EVNOP",55.00
"ID","EVNTP",103.00
"ID","EVPPP",3.00
"ID","EVPUP",125.00
"ID","EVPVP",30.00
"IL","EV0CN",0.00
"IL","EV1CN",51.00
"IL","EV2CN",2992.00
"IL","EV2CR",2.40
"IL","EVCHN",3772.00
"IL","EVCHP",1381.00
"IL","EVDCN",729.00
"IL","EVDCR",4.58
"IL","EVNNP",6.00
"IL","EVNOP",199.00
"IL","EVNTP",1176.00
"IL","EVPPP",44.00
"IL","EVPUP",1268.00
"IL","EVPVP",69.00
"IN","EV0CN",0.00
"IN","EV1CN",8.00
"IN","EV2CN",832.00
"IN","EV2CR",2.25
"IN","EVCHN",1169.00
"IN","EVCHP",419.00
"IN","EVDCN",329.00
"IN","EVDCR",5.39
"IN","EVNNP",0.00
"IN","EVNOP",107.00
"IN","EVNTP",312.00
"IN","EVPPP",21.00
"IN","EVPUP",368.00
"IN","EVPVP",30.00
"KS","EV0CN",0.00
"KS","EV1CN",14.00
"KS","EV2CN",910.00
"KS","EV2CR",2.49
"KS","EVCHN",1079.00
"KS","EVCHP",399.00
"KS","EVDCN",155.00
"KS","EVDCR",4.70
"KS","EVNNP",2.00
"KS","EVNOP",53.00
"KS","EVNTP",344.00
"KS","EVPPP",17.00
"KS","EVPUP",366.00
"KS","EVPVP",16.00
"KY","EV0CN",0.00
"KY","EV1CN",24.00
"KY","EV2CN",548.00
"KY","EV2CR",2.40
"KY","EVCHN",685.00
"KY","EVCHP",257.00
"KY","EVDCN",113.00
"KY","EVDCR",4.71
"KY","EVNNP",0.00
"KY","EVNOP",108.00
"KY","EVNTP",149.00
"KY","EVPPP",9.00
"KY","EVPUP",235.00
"KY","EVPVP",13.00
"LA","EV0CN",0.00
"LA","EV1CN",21.00
"LA","EV2CN",368.00
"LA","EV2CR",2.20
"LA","EVCHN",538.00
"LA","EVCHP",201.00
"LA","EVDCN",149.00
"LA","EVDCR",4.52
"LA","EVNNP",3.00
"LA","EVNOP",70.00
"LA","EVNTP",128.00
"LA","EVPPP",11.00
"LA","EVPUP",174.00
"LA","EVPVP",16.00
"MA","EV0CN",0.00
"MA","EV1CN",64.00
"MA","EV2CN",5757.00
"MA","EV2CR",2.40
"MA","EVCHN",6414.00
"MA","EVCHP",2517.00
"MA","EVDCN",593.00
"MA","EVDCR",4.15
"MA","EVNNP",3.00
"MA","EVNOP",167.00
"MA","EVNTP",2347.00
"MA","EVPPP",29.00
"MA","EVPUP",2377.00
"MA","EVPVP",111.00
"MD","EV0CN",0.00
"MD","EV1CN",45.00
"MD","EV2CN",4185.00
"MD","EV2CR",3.14
"MD","EVCHN",4949.00
"MD","EVCHP",1491.00
"MD","EVDCN",719.00
"MD","EVDCR",3.06
"MD","EVNNP",4.00
"MD","EVNOP",272.00
"MD","EVNTP",1215.00
"MD","EVPPP",27.00
"MD","EVPUP",1366.00
"MD","EVPVP",98.00
"ME","EV0CN",0.00
"ME","EV1CN",25.00
"ME","EV2CN",712.00
"ME","EV2CR",1.96
"ME","EVCHN",918.00
"ME","EVCHP",415.00
"ME","EVDCN",181.00
"ME","EVDCR",2.97
"ME","EVNNP",3.00
"ME","EVNOP",184.00
"ME","EVNTP",228.00
"ME","EVPPP",11.00
"ME","EVPUP",394.00
"ME","EVPVP",10.00
"MI","EV0CN",10.00
"MI","EV1CN",14.00
"MI","EV2CN",2276.00
"MI","EV2CR",2.31
"MI","EVCHN",2848.00
"MI","EVCHP",1173.00
"MI","EVDCN",548.00
"MI","EVDCR",2.62
"MI","EVNNP",3.00
"MI","EVNOP",438.00
"MI","EVNTP",732.00
"MI","EVPPP",16.00
"MI","EVPUP",1083.00
"MI","EVPVP",74.00
"MN","EV0CN",0.00
"MN","EV1CN",75.00
"MN","EV2CN",1433.00
"MN","EV2CR",2.44
"MN","EVCHN",1830.00
"MN","EVCHP",648.00
"MN","EVDCN",322.00
"MN","EVDCR",3.62
"MN","EVNNP",19.00
"MN","EVNOP",121.00
"MN","EVNTP",508.00
"MN","EVPPP",11.00
"MN","EVPUP",610.00
"MN","EVPVP",27.00
"MO","EV0CN",0.00
"MO","EV1CN",14.00
"MO","EV2CN",2003.00
"MO","EV2CR",2.71
"MO","EVCHN",2317.00
"MO","EVCHP",832.00
"MO","EVDCN",300.00
"MO","EVDCR",2.88
"MO","EVNNP",1.00
"MO","EVNOP",75.00
"MO","EVNTP",756.00
"MO","EVPPP",10.00
"MO","EVPUP",793.00
"MO","EVPVP",29.00
"MS","EV0CN",0.00
"MS","EV1CN",139.00
"MS","EV2CN",236.00
"MS","EV2CR",2.68
"MS","EVCHN",456.00
"MS","EVCHP",109.00
"MS","EVDCN",81.00
"MS","EVDCR",5.06
"MS","EVNNP",0.00
"MS","EVNOP",37.00
"MS","EVNTP",72.00
"MS","EVPPP",10.00
"MS","EVPUP",87.00
"MS","EVPVP",12.00
"MT","EV0CN",0.00
"MT","EV1CN",3.00
"MT","EV2CN",167.00
"MT","EV2CR",2.26
"MT","EVCHN",280.00
"MT","EVCHP",103.00
"MT","EVDCN",110.00
"MT","EVDCR",3.93
"MT","EVNNP",0.00
"MT","EVNOP",30.00
"MT","EVNTP",73.00
"MT","EVPPP",2.00
"MT","EVPUP",98.00
"MT","EVPVP",3.00
"NC","EV0CN",0.00
"NC","EV1CN",37.00
"NC","EV2CN",2709.00
"NC","EV2CR",2.55
"NC","EVCHN",3451.00
"NC","EVCHP",1214.00
"NC","EVDCN",705.00
"NC","EVDCR",4.17
"NC","EVNNP",4.00
"NC","EVNOP",262.00
"NC","EVNTP",948.00
"NC","EVPPP",49.00
"NC","EVPUP",1094.00
"NC","EVPVP",71.00
"ND","EV0CN",0.00
"ND","EV1CN",0.00
"ND","EV2CN",123.00
"ND","EV2CR",1.95
"ND","EVCHN",189.00
"ND","EVCHP",81.00
"ND","EVDCN",66.00
"ND","EVDCR",2.87
"ND","EVNNP",2.00
"ND","EVNOP",32.00
"ND","EVNTP",47.00
"ND","EVPPP",2.00
"ND","EVPUP",78.00
"ND","EVPVP",1.00
"NE","EV0CN",0.00
"NE","EV1CN",0.00
"NE","EV2CN",377.00
"NE","EV2CR",2.09
"NE","EVCHN",487.00
"NE","EVCHP",222.00
"NE","EVDCN",110.00
"NE","EVDCR",2.39
"NE","EVNNP",0.00
"NE","EVNOP",9.00
"NE","EVNTP",213.00
"NE","EVPPP",4.00
"NE","EVPUP",216.00
"NE","EVPVP",2.00
"NH","EV0CN",0.00
"NH","EV1CN",6.00
"NH","EV2CN",363.00
"NH","EV2CR",2.04
"NH","EVCHN",508.00
"NH","EVCHP",203.00
"NH","EVDCN",139.00
"NH","EVDCR",4.48
"NH","EVNNP",3.00
"NH","EVNOP",79.00
"NH","EVNTP",121.00
"NH","EVPPP",8.00
"NH","EVPUP",173.00
"NH","EVPVP",22.00
"NJ","EV0CN",0.00
"NJ","EV1CN",16.00
"NJ","EV2CN",2330.00
"NJ","EV2CR",2.69
"NJ","EVCHN",3139.00
"NJ","EVCHP",1001.00
"NJ","EVDCN",793.00
"NJ","EVDCR",4.87
"NJ","EVNNP",3.00
"NJ","EVNOP",140.00
"NJ","EVNTP",858.00
"NJ","EVPPP",28.00
"NJ","EVPUP",907.00
"NJ","EVPVP",66.00
"NM","EV0CN",0.00
"NM","EV1CN",10.00
"NM","EV2CN",383.00
"NM","EV2CR",2.28
"NM","EVCHN",554.00
"NM","EVCHP",211.00
"NM","EVDCN",161.00
"NM","EVDCR",3.83
"NM","EVNNP",0.00
"NM","EVNOP",24.00
"NM","EVNTP",187.00
"NM","EVPPP",3.00
"NM","EVPUP",197.00
"NM","EVPVP",11.00
"NV","EV0CN",0.00
"NV","EV1CN",15.00
"NV","EV2CN",1335.00
"NV","EV2CR",3.19
"NV","EVCHN",1785.00
"NV","EVCHP",496.00
"NV","EVDCN",435.00
"NV","EVDCR",4.83
"NV","EVNNP",0.00
"NV","EVNOP",59.00
"NV","EVNTP",437.00
"NV","EVPPP",4.00
"NV","EVPUP",476.00
"NV","EVPVP",16.00
"NY","EV0CN",0.00
"NY","EV1CN",49.00
"NY","EV2CN",9025.00
"NY","EV2CR",2.80
"NY","EVCHN",10253.00
"NY","EVCHP",3475.00
"NY","EVDCN",1179.00
"NY","EVDCR",4.37
"NY","EVNNP",3.00
"NY","EVNOP",357.00
"NY","EVNTP",3115.00
"NY","EVPPP",59.00
"NY","EVPUP",3263.00
"NY","EVPVP",153.00
"OH","EV0CN",0.00
"OH","EV1CN",40.00
"OH","EV2CN",2562.00
"OH","EV2CR",2.30
"OH","EVCHN",3054.00
"OH","EVCHP",1263.00
"OH","EVDCN",452.00
"OH","EVDCR",2.63
"OH","EVNNP",5.00
"OH","EVNOP",309.00
"OH","EVNTP",949.00
"OH","EVPPP",36.00
"OH","EVPUP",1193.00
"OH","EVPVP",34.00
"OK","EV0CN",0.00
"OK","EV1CN",8.00
"OK","EV2CN",487.00
"OK","EV2CR",2.45
"OK","EVCHN",1133.00
"OK","EVCHP",334.00
"OK","EVDCN",638.00
"OK","EVDCR",3.80
"OK","EVNNP",4.00
"OK","EVNOP",80.00
"OK","EVNTP",250.00
"OK","EVPPP",13.00
"OK","EVPUP",302.00
"OK","EVPVP",19.00
"OR","EV0CN",0.00
"OR","EV1CN",75.00
"OR","EV2CN",2395.00
"OR","EV2CR",2.59
"OR","EVCHN",3001.00
"OR","EVCHP",1048.00
"OR","EVDCN",531.00
"OR","EVDCR",2.92
"OR","EVNNP",4.00
"OR","EVNOP",184.00
"OR","EVNTP",860.00
"OR","EVPPP",22.00
"OR","EVPUP",965.00
"OR","EVPVP",61.00
"PA","EV0CN",0.00
"PA","EV1CN",51.00
"PA","EV2CN",2845.00
"PA","EV2CR",2.32
"PA","EVCHN",3614.00
"PA","EVCHP",1369.00
"PA","EVDCN",718.00
"PA","EVDCR",4.49
"PA","EVNNP",0.00
"PA","EVNOP",221.00
"PA","EVNTP",1148.00
"PA","EVPPP",47.00
"PA","EVPUP",1284.00
"PA","EVPVP",38.00
"RI","EV0CN",0.00
"RI","EV1CN",82.00
"RI","EV2CN",664.00
"RI","EV2CR",2.49
"RI","EVCHN",825.00
"RI","EVCHP",300.00
"RI","EVDCN",79.00
"RI","EVDCR",2.14
