Hour,Demand,Net generation,Coal,Natural gas,Petroleum,Hydro,Solar,Wind,Other
1,41328.9,41505.7,4319.7,12940.9,0.0,10.9,1.0,20308.9,182.7
2,39775.3,39997.7,4145.0,11731.4,0.0,9.9,1.0,20256.0,112.3
3,38715.9,38922.1,4028.1,11094.3,0.0,9.9,1.0,19933.1,114.6
4,38118.4,38254.1,4147.9,10981.7,0.0,10.0,1.0,19245.9,126.1
5,38074.4,38216.3,4075.9,10994.1,0.0,10.0,1.0,19299.4,94.3
6,39172.6,39347.9,4025.0,11745.7,0.0,10.1,1.0,19712.4,112.0
7,41284.1,41421.1,4350.1,13393.0,0.0,10.0,1.3,19692.3,232.9
8,42443.0,42705.6,4521.3,13979.3,0.0,11.6,795.1,19326.6,329.9
9,43466.1,43725.1,4286.6,12128.9,0.0,10.1,5658.1,17721.3,176.1
10,44681.9,45030.7,4065.4,11139.7,0.0,10.1,9359.7,16595.1,119.3
11,45666.4,46029.6,4041.3,11282.0,0.0,10.1,9976.7,16846.9,130.3
12,46619.9,46879.0,4113.4,11762.6,0.0,10.3,10877.7,16246.3,125.7
13,47602.0,47830.1,4059.9,12289.9,0.0,10.1,11925.6,15656.3,145.1
14,48759.1,49022.6,4086.3,13147.4,0.0,9.1,12615.0,15278.9,144.1
15,49979.3,50240.9,4198.7,14152.3,0.0,8.9,12944.4,15079.9,116.0
16,51011.1,51271.0,4288.6,14767.6,0.0,9.6,12857.3,15438.7,169.0
17,52180.7,52446.0,4501.0,16045.9,0.0,33.3,12357.0,15611.1,157.4
18,52630.3,52803.6,4787.9,17179.4,0.0,40.4,11104.6,15784.4,166.0
19,52015.1,52046.3,5265.1,19502.7,0.0,55.1,7322.3,15854.6,304.6
20,50589.3,50497.0,5898.0,22075.9,0.0,80.4,1905.7,16029.0,766.3
21,50337.6,50273.1,6323.1,22732.0,0.0,62.1,21.0,16743.7,649.9
22,49214.0,49343.1,5964.4,21542.1,0.0,29.7,0.6,17759.4,305.4
23,46920.4,47125.9,5489.9,19385.0,0.0,10.9,0.7,18368.0,130.3
24,43566.2,43741.3,4530.3,14672.0,0.0,10.0,1.0,20633.5,153.7
