YYYYMM,Value
201506,49473.0
201507,48949.0
201508,50779.0
201509,51003.0
201510,52883.0
201511,54696.0
201512,55224.0
201513,55224.0
201601,58438.0
201602,60369.0
201603,61891.0
201604,62380.0
201605,63419.0
201606,65416.0
201607,66146.0
201608,67359.0
201609,68916.0
201610,70500.0
201611,71789.0
201612,73511.0
201613,73511.0
201701,75258.0
201702,76456.0
201703,78031.0
201704,78774.0
201705,80226.0
201706,81392.0
201707,81980.0
201708,83409.0
201709,86199.0
201710,87057.0
201711,88063.0
201712,89080.0
201713,89080.0
201801,89996.0
201802,89876.0
201803,90117.0
201804,91419.0
201805,85446.0
201806,87438.0
201807,90759.0
201808,91927.0
201809,90151.0
201810,91235.0
201811,93209.0
201812,94848.0
201813,94848.0
201901,91486.0
201902,93641.0
201903,93749.0
201904,95049.0
201905,96150.0
201906,97788.0
201907,99731.0
201908,102482.0
201909,105017.0
201910,107743.0
201911,105638.0
201912,106205.0
201913,106205.0
202001,107393.0
202002,108975.0
202003,110479.0
202004,111739.0
202005,113219.0
202006,114202.0
202007,116377.0
202008,115320.0
202009,116583.0
202010,117784.0
202011,122142.0
202012,122014.0
202013,122014.0
202101,126270.0
202102,127888.0
202103,128976.0
202104,130991.0
202105,133645.0
202106,134730.0
202107,136476.0
202108,137940.0
202109,138222.0
202110,142627.0
202111,142368.0
202112,144875.0
202113,144875.0
202201,145104.0
202202,144536.0
202203,146089.0
202204,148640.0
202205,151628.0
202206,153877.0
202207,155777.0
202208,157862.0
202209,158273.0
202210,159338.0
202211,160855.0
202212,164053.0
202213,164053.0
202301,163087.0
202302,163366.0
202303,165958.0
202304,167612.0
202305,169851.0
202306,171078.0
202307,172492.0
202308,173947.0
202309,168331.0
202310,170762.0
202311,174212.0
202312,176481.0
202313,176481.0
202401,179713.0
202402,180842.0
